"BFISH","MISSION_ID","DROP_CD","VIDEO_FRAME","TIME_FROM_TOUCHDOWN_MIN","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","MAXN","DATA_TYPE","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"BFISH_2018_F","SE1806","20181029_223242",9283,9.0486,"PRFI","Pristipomoides filamentosus","Opakapaka",11,"MaxN","00000403",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_224749",5408,0.7458,"PSAU","Pristipomoides auricilla","Goldflag jobfish",NA,"non-target","00000404",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_224749",5914,1.4486,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000405",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_224749",15473,14.725,"ETCA","Etelis carbunculus","Ehu",6,"MaxN","00000406",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_232354",3193,0.1444,"LUSP","Lutjanid","Snapper sp.",NA,"non-target","00000407",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_232354",7577,6.2333,"CAOR","Carangoides orthogrammus","Island trevally",NA,"non-target","00000408",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_232354",13313,14.2,"DESP","Decapterus sp.","Mackerel scad sp.",NA,"non-target","00000409",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_233202",15492,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000410",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_233248",3854,1.1444,"XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish",NA,"non-target","00000411",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_233248",4532,2.0861,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000412",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_233248",4607,2.1903,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000413",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_233248",4636,2.2306,"PRFI","Pristipomoides filamentosus","Opakapaka",15,"MaxN","00000414",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_233248",4997,2.7319,"CAOR","Carangoides orthogrammus","Island trevally",NA,"non-target","00000415",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_233248",5091,2.8625,"APRU","Aphareus rutilans","Lehi",3,"MaxN","00000416",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_234217",12254,9.9208,"GACU","Galeocerdo cuvier","Tiger shark",NA,"non-target","00000417",NA,NA,NA,NA
